avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,[1. 1. 1. 1.],1,[1. 1. 1. 1.],1,[1. 1. 1. 1.]
2.217349064664449,"[ 0.00807147  0.06346874 -0.07644894 -0.05874496 -0.01746171 -0.04369316
 -0.02569134  0.05585187 -0.01231889  0.04078988 -0.01263965 -0.11767387
 -0.08960141 -0.13950715  0.05726238 -0.07872371  0.06124687 -0.01773124
 -0.0131107   0.02915069  0.05024664 -0.11477863  0.05160798 -0.04546471
  0.01561472  0.04980649  0.03150076 -0.02728187  0.02978222 -0.00449635
 -0.0471341  -0.04676424  0.01168005  0.07253046  0.01548032  0.0456
 -0.05301928  0.10416435 -0.06044594 -0.09193441 -0.09968023 -0.02456018
 -0.03187381 -0.04908254 -0.02202596 -0.05000646  0.03754952 -0.026451
 -0.07270496  0.00245205 -0.00953372  0.05391617  0.0362191   0.02600035
 -0.01947678 -0.00261087 -0.04068767 -0.02426132  0.01812993  0.01566024
  0.01288078  0.00250782  0.034068    0.00664415 -0.01435755]",43.24136936666522,"[-0.61632238  0.19140826  0.2058593  -0.03452505  0.49548171  0.07096857
 -0.51809544 -0.35231685  0.00560495  0.24445762  0.2101805  -0.54929505
 -0.42284394  0.16938262 -0.47080331 -0.45905883  0.55461144  0.03342101
 -0.25228363  0.29939794  0.22522444 -0.62049884 -0.54179027  0.35300795
  0.05007429  0.50971128  0.31281933  0.51599248  0.57473007  0.52764757
  0.54808194  0.45851193  0.31569337  0.3525215  -0.30731935  0.03022924
  0.45409988  0.13120245  0.30374455 -0.63459008  0.35104365 -0.34002716
 -0.11493051 -0.37537532 -0.57136326  0.43349847 -0.09002142 -0.6115549
 -0.4895572   0.34101919 -0.19222122 -0.18055462 -0.49456368 -0.60934466
  0.5063443   0.23176066 -0.0629171  -0.28199191 -0.29415245  0.30262116
  0.31924453 -0.29656138  0.03861815 -0.00358699 -0.02152587]",11.006427446659654,"[-0.41828158 -0.05078399  0.04605606 -0.04826996  0.15396717  0.08637572
 -0.16749725 -0.18417924  0.00783245  0.017378    0.1121061  -0.2418691
 -0.27076243  0.00379731  0.14970291 -0.35368115  0.10464546 -0.05567697
  0.0455994  -0.05026136  0.12477146 -0.16585451  0.23989357 -0.17964661
  0.08453451  0.12364643  0.25196063 -0.05331531  0.3069648   0.04015035
 -0.10967849  0.2986144   0.0956095  -0.02802235  0.07063414  0.03276187
 -0.18758824  0.10880921  0.00176537 -0.31749551 -0.12535486 -0.40879067
  0.1999375  -0.05794459 -0.42722861 -0.0443788   0.00827279 -0.15607634
 -0.38022103 -0.01749681 -0.16484178 -0.02805007  0.10079212 -0.02735623
  0.35254586  0.15764363 -0.14307325  0.25941584 -0.07594074 -0.07733861
  0.04900068 -0.21924479  0.10644944 -0.01993809 -0.10954104]"
2.537212531334178,"[-0.3047891   0.01662028 -0.00179795 -0.01142563  0.15176316 -0.01066518
 -0.22735992 -0.13842472 -0.00275336  0.04599373  0.08100457 -0.23847211
 -0.11079023 -0.09205231  0.05748498 -0.30393958  0.09682192 -0.0809873
 -0.00978903  0.08687484  0.04041036 -0.15537084 -0.03741575  0.03331213
  0.03470697  0.1257861   0.15368368  0.06556433  0.21936691  0.05596758
 -0.05491218  0.1406178  -0.03569364  0.0794323  -0.04262835  0.06396964
  0.04661107  0.09250032  0.0449417  -0.33151587 -0.04226125 -0.21962255
  0.14656461 -0.09461133 -0.28446913  0.02822309  0.10010979 -0.10135085
 -0.33797745  0.06653908 -0.10918064 -0.08418733 -0.02080807 -0.0808792
  0.15789379  0.12856759 -0.16700392  0.08135614 -0.23942073 -0.04027385
  0.09966001 -0.14022085  0.04473771  0.03296892 -0.07230407]",10.987386733332338,"[-0.62998325  0.31871876  0.3242305  -0.00954707  0.41027528  0.1000409
 -0.44654254 -0.26539179  0.02299392  0.21593358  0.08533047 -0.45888052
 -0.28904217  0.23592888 -0.41603423 -0.39898533  0.45045539  0.16848145
 -0.27697371  0.40200268  0.33520225 -0.52367474 -0.45517158  0.41958628
 -0.05711043  0.71343789  0.23594131  0.3165945   0.52010361  0.53465837
  0.43824932  0.38207543  0.29170217  0.29042972 -0.2216593  -0.0457777
  0.36749071  0.07766116  0.32876762 -0.64486773  0.36593187 -0.26130554
 -0.07051244 -0.30071939 -0.6102128   0.38754181 -0.0894963  -0.56576361
 -0.48825088  0.35006839 -0.18844231 -0.31031879 -0.29672186 -0.5867497
  0.6342407   0.16376204  0.07120351 -0.27192374 -0.32373771  0.16576666
  0.3632408  -0.15978457  0.18138411 -0.01891809 -0.05875063]",8.463365833333228,"[-0.50781128  0.10369746  0.19881381  0.02701802  0.36077536  0.03779455
 -0.4375584  -0.30758387  0.01681611  0.15813392  0.06313205 -0.42056582
 -0.28745591  0.16761489 -0.32331395 -0.45883698  0.37569545  0.03942686
 -0.20840927  0.24030745  0.1342802  -0.3976576  -0.39679891  0.26062309
  0.09303217  0.44599503  0.24265424  0.41109696  0.500037    0.38097207
  0.37378185  0.32867874  0.27628177  0.25473149 -0.19771559  0.11199726
  0.22638386  0.07371333  0.3546527  -0.59445599  0.37394646 -0.26636571
 -0.0304177  -0.31855626 -0.44864065  0.34639399 -0.11255645 -0.435489
 -0.44903557  0.27286345 -0.23130965 -0.09271133 -0.38650386 -0.42909862
  0.4400148   0.11933638 -0.0393006  -0.14476667 -0.35447575  0.14700048
  0.3416725  -0.21534289  0.15167557  0.12115628  0.06178283]"
3.8055015560022265,"[-4.67351624e-01  9.20487872e-02  1.71343631e-01 -3.76484414e-04
  2.72091070e-01  6.17827500e-02 -3.70928027e-01 -2.34474021e-01
  5.93973538e-02  1.32772914e-01  9.09683207e-02 -3.76019333e-01
 -2.56757359e-01  8.91398484e-02 -2.64967783e-01 -3.97944688e-01
  3.34896244e-01  4.06723728e-02 -1.45356600e-01  2.03266666e-01
  1.49852547e-01 -3.61491022e-01 -2.56942774e-01  1.56882462e-01
  1.72478989e-02  3.93577273e-01  2.14679476e-01  3.02924518e-01
  4.48804582e-01  2.82040050e-01  2.12587837e-01  2.74506965e-01
  1.78135230e-01  1.73971817e-01 -1.21638413e-01  1.44809529e-01
  1.38340516e-01  9.47586715e-02  2.79504815e-01 -5.28055508e-01
  2.28378304e-01 -2.88637936e-01  4.53055188e-02 -1.88621396e-01
 -4.13779240e-01  1.97358290e-01 -3.86762618e-02 -3.60753077e-01
 -3.99566484e-01  2.26244936e-01 -2.16921210e-01 -9.65205153e-02
 -2.67367055e-01 -3.31084179e-01  3.74776838e-01  1.36218420e-01
 -9.26195529e-02 -3.78370235e-02 -3.27315706e-01  7.83157140e-02
  2.94118652e-01 -1.79786776e-01  1.17800033e-01  9.27466463e-02
  5.11401245e-02]",29.12674583333622,"[-0.61632238  0.19140826  0.2058593  -0.03452505  0.49548171  0.07096857
 -0.51809544 -0.35231685  0.00560495  0.24445762  0.2101805  -0.54929505
 -0.42284394  0.16938262 -0.47080331 -0.45905883  0.55461144  0.03342101
 -0.25228363  0.29939794  0.22522444 -0.62049884 -0.54179027  0.35300795
  0.05007429  0.50971128  0.31281933  0.51599248  0.57473007  0.52764757
  0.54808194  0.45851193  0.31569337  0.3525215  -0.30731935  0.03022924
  0.45409988  0.13120245  0.30374455 -0.63459008  0.35104365 -0.34002716
 -0.11493051 -0.37537532 -0.57136326  0.43349847 -0.09002142 -0.6115549
 -0.4895572   0.34101919 -0.19222122 -0.18055462 -0.49456368 -0.60934466
  0.5063443   0.23176066 -0.0629171  -0.28199191 -0.29415245  0.30262116
  0.31924453 -0.29656138  0.03861815 -0.00358699 -0.02152587]",17.480452113342473,"[-0.49939882 -0.01390932  0.16833963  0.05989291  0.25434175  0.07789141
 -0.3572652  -0.32466818 -0.04465902  0.03927825 -0.04554154 -0.3440785
 -0.24466214  0.04231567 -0.16720255 -0.38648093  0.27312503  0.04746371
 -0.13442626  0.13964931  0.04800262 -0.22728698 -0.2518564   0.08482128
  0.03861599  0.3313786   0.09503107  0.26661903  0.42919436  0.29561383
  0.19214722  0.21140311  0.21414339  0.17785807 -0.06702394  0.06513854
  0.11536456  0.04295014  0.37960615 -0.57832102  0.21764774 -0.22894128
  0.06112067 -0.28368948 -0.48759335  0.19169072 -0.11298344 -0.25492218
 -0.43316452  0.15979918 -0.21852703 -0.07314989 -0.25439778 -0.27434231
  0.45884118 -0.04445246 -0.1058862   0.00177707 -0.46118191  0.03428114
  0.37642107 -0.15982525  0.2166461   0.10203205  0.04798326]"
6.333220378666105,"[-0.53004281  0.05485809  0.20355142 -0.01532926  0.31301502  0.09287533
 -0.41988746 -0.35324528 -0.01145685  0.11284271  0.01634328 -0.41991988
 -0.31104923  0.10752973 -0.27632132 -0.45261972  0.35392965  0.07437863
 -0.17941242  0.20489159  0.08248377 -0.32297427 -0.3403124   0.19038768
  0.03045798  0.39299728  0.20950601  0.32088624  0.44757705  0.34480379
  0.28741785  0.28342236  0.24202446  0.27899065 -0.1172968   0.08254973
  0.21287017  0.09263387  0.36579954 -0.61468434  0.24823079 -0.23476292
  0.0112772  -0.32868352 -0.50433489  0.25561598 -0.12101726 -0.34620228
 -0.4340127   0.2623527  -0.26540294 -0.11977809 -0.32121723 -0.35237933
  0.5248192   0.04274269 -0.06252014 -0.06107696 -0.40889774  0.10744985
  0.38123212 -0.17188858  0.1719701   0.11034001  0.05344327]",34.896044266681805,"[-0.74426529  0.28320049  0.32337422 -0.24659938  0.29689258  0.27850929
 -0.46657045 -0.49138701 -0.05600431  0.30986187  0.14550314 -0.57094094
 -0.49297151  0.08188128 -0.47027108 -0.4560418   0.69332591  0.1919945
 -0.31164957  0.33037623  0.10983016 -0.48005973 -0.44848543  0.39386503
 -0.19665474  0.62887975  0.23409111  0.24328817  0.47563321  0.58159225
  0.47407299  0.30087382  0.25600265  0.47192058 -0.10751538  0.03182907
  0.35704587  0.18851606  0.44203598 -0.71987936  0.19531257 -0.21283557
 -0.18901212 -0.39065194 -0.67979714  0.40635567 -0.08514664 -0.49131876
 -0.41000999  0.33112636 -0.3121685  -0.33871021 -0.34546693 -0.47942457
  0.73911817  0.08439419 -0.05556501 -0.00213157 -0.38633567  0.19018931
  0.34258712 -0.06429656  0.03207626  0.03513392  0.02755395]",28.42099650000455,"[-0.59299107  0.15537898  0.15725173 -0.05221908  0.37387677  0.09976878
 -0.42630288 -0.29850886 -0.04886536  0.19941404  0.13186486 -0.42771767
 -0.39160041  0.17788211 -0.39034949 -0.4811342   0.47606094  0.11009427
 -0.21025754  0.26109226  0.12887385 -0.42986059 -0.39494216  0.25887667
 -0.04243657  0.45059803  0.26413538  0.34060243  0.47363963  0.40631518
  0.34982999  0.39738142  0.31743035  0.30617336 -0.17889033  0.04360776
  0.31912294  0.06929036  0.36725697 -0.62339298  0.25993206 -0.24945313
 -0.01595699 -0.38771268 -0.56794913  0.3614771  -0.12332668 -0.43863542
 -0.38082147  0.24843291 -0.34231894 -0.24633516 -0.43978552 -0.46188147
  0.52309512  0.15495697 -0.08468458 -0.09466058 -0.34125808  0.18133853
  0.35758111 -0.22121248  0.12282268  0.11008285  0.00082343]"
9.582368861331684,"[-0.62801866  0.12456107  0.16958266 -0.08886459  0.38578401  0.12807289
 -0.42593891 -0.34975486 -0.04262689  0.17433908  0.07918024 -0.4744786
 -0.3870776   0.15184745 -0.35423896 -0.51088037  0.43806895  0.12433793
 -0.19869727  0.26884833  0.08541115 -0.42177287 -0.3883219   0.27647285
  0.01663694  0.48047731  0.25907047  0.3387935   0.45511182  0.38686988
  0.36214165  0.39673341  0.2996561   0.32557544 -0.11527977  0.08087314
  0.29655493  0.0898543   0.38303207 -0.58860547  0.27078164 -0.23967224
 -0.03198104 -0.36482275 -0.57389234  0.35852021 -0.13726579 -0.44560217
 -0.42314573  0.28435457 -0.33061605 -0.22372044 -0.42087514 -0.42305224
  0.56127594  0.12437164 -0.04457596 -0.08236481 -0.39648853  0.15611365
  0.38611739 -0.14194695  0.09405124  0.12106276 -0.00819453]",69.99793313333066,"[-0.76978755  0.27462965  0.32065684 -0.24646919  0.45428388  0.38423141
 -0.55906094 -0.41600469 -0.08421993  0.12673444  0.15040349 -0.54466857
 -0.4561863   0.02873078 -0.43131191 -0.54170281  0.65106635  0.13557467
 -0.28712682  0.24845849  0.00942772 -0.50922808 -0.45439354  0.39567721
 -0.09143891  0.6902417   0.4284491   0.31231958  0.40756946  0.43178995
  0.39033216  0.27715038  0.23189617  0.44173781 -0.11392024  0.13116965
  0.33459466  0.17861059  0.51273316 -0.57432131  0.13916941 -0.18650992
 -0.23887217 -0.32520398 -0.79630456  0.16293679 -0.16593831 -0.50959045
 -0.42162906  0.47990702 -0.24615535 -0.30614828 -0.23902154 -0.44414226
  0.57630482 -0.00439154  0.07963164 -0.03697102 -0.40789648  0.10357348
  0.37117227 -0.11644236  0.11905985  0.13672254 -0.07867851]",44.78562972666308,"[-0.53627599  0.09184409  0.08367786 -0.16297756  0.25343541  0.09801359
 -0.35383654 -0.32894632 -0.08729317  0.17888259  0.07479939 -0.44720811
 -0.28550512  0.15137635 -0.39096234 -0.49478069  0.30991804  0.10056959
 -0.2138741   0.24102224  0.02147414 -0.43218353 -0.31083111  0.20786425
  0.07048359  0.42284558  0.26267665  0.35456525  0.37925809  0.24819076
  0.21522046  0.275949    0.22791105  0.33700689 -0.05040477  0.14246362
  0.24982924  0.04858169  0.44154755 -0.57136683  0.23025888 -0.24792225
 -0.02662329 -0.3937023  -0.60902065  0.2762644  -0.18056353 -0.41321656
 -0.36406086  0.20539444 -0.32573929 -0.16279321 -0.39832707 -0.42368233
  0.47572455  0.09826458  0.03452931  0.00658842 -0.47641865  0.09694704
  0.3895175  -0.21424261  0.08990042  0.17741449 -0.09057249]"
11.927823592664595,"[-0.56574867  0.15025242  0.17469444 -0.11978962  0.32048944  0.11191293
 -0.40747748 -0.34089743 -0.04671959  0.17757585  0.08005047 -0.44382545
 -0.33027445  0.14661658 -0.40999294 -0.4922426   0.41821202  0.14158866
 -0.25940573  0.2313577   0.02889031 -0.47377022 -0.36697669  0.26931866
 -0.00198738  0.49126101  0.28767585  0.33136801  0.40456052  0.32764731
  0.30305006  0.26795167  0.25399842  0.3544003  -0.07345716  0.14236343
  0.26287127  0.06077134  0.46927668 -0.55020248  0.24581626 -0.25300009
 -0.05996425 -0.38215142 -0.64648315  0.26101109 -0.16697198 -0.42490895
 -0.35460987  0.24654589 -0.31588459 -0.22886484 -0.3643186  -0.40100855
  0.52880038  0.09574195  0.01637446 -0.01123158 -0.43124743  0.11935745
  0.40700233 -0.16619589  0.09249535  0.15560868 -0.05534546]",85.5200220666593,"[-0.66178854  0.16219347  0.35285165 -0.13718619  0.23341273  0.31166515
 -0.29666692 -0.37113988 -0.00968927 -0.05341742  0.07714315 -0.3772799
 -0.21423179 -0.03918396 -0.40086879 -0.46604067  0.60611544  0.09342137
 -0.14528833  0.24353476  0.06941434 -0.68457341 -0.45138782  0.34198427
  0.07414479  0.65200743  0.402538    0.29084002  0.35510279  0.431832
  0.32782707  0.11407299  0.19717129  0.50749291 -0.00420754  0.36349782
  0.04064063  0.10690804  0.44095443 -0.66526941  0.159438   -0.19588582
 -0.03561828 -0.31958522 -0.58483129  0.2596749  -0.28016957 -0.26682331
 -0.26623229  0.33006302 -0.17845355 -0.37751798 -0.22611766 -0.47709907
  0.51033113 -0.09678098 -0.04625819  0.0914072  -0.53906659  0.27907884
  0.31171112  0.02475864  0.11103006  0.22116851 -0.0297569 ]",49.68545449999705,"[-0.61641647  0.1510402   0.26795258 -0.16256363  0.4142433   0.29198885
 -0.43144382 -0.34614399 -0.09853962  0.08094361  0.14650282 -0.43855534
 -0.33254212  0.10628081 -0.36329002 -0.54059002  0.48060071  0.02716425
 -0.18923523  0.28798034  0.02891089 -0.44010999 -0.40426283  0.33545983
  0.03146921  0.52687673  0.33645302  0.29983005  0.43684837  0.38377376
  0.28890641  0.23394644  0.25904866  0.36685296 -0.07101424  0.21700722
  0.2048448   0.05299099  0.4763173  -0.49559298  0.24481664 -0.20397324
 -0.01163642 -0.40061469 -0.60529634  0.21983185 -0.34441878 -0.3291821
 -0.31969224  0.33702261 -0.31324464 -0.2893024  -0.31117338 -0.3671948
  0.48747776  0.01750739 -0.03120769  0.05323057 -0.45258135  0.11787424
  0.3423493  -0.10579467  0.12105288  0.23717851 -0.04886178]"
12.765758123334574,"[-0.60551757  0.14449616  0.28405442 -0.13164188  0.37384492  0.25779761
 -0.42099528 -0.34617877 -0.07481089  0.07800592  0.14522969 -0.42711579
 -0.33378606  0.12542165 -0.39141265 -0.51217293  0.45108361  0.08513418
 -0.215474    0.26268469  0.05236034 -0.43009212 -0.36023915  0.307282
  0.01710031  0.51509946  0.31634144  0.32737283  0.38799407  0.37568329
  0.29082526  0.22920025  0.23483118  0.40204413 -0.06589406  0.18123843
  0.21295354  0.0457576   0.48317464 -0.53474633  0.254805   -0.24006886
 -0.02262437 -0.37505329 -0.63432816  0.2577295  -0.29997513 -0.37377822
 -0.2952236   0.287972   -0.32113211 -0.26383521 -0.29674865 -0.38059902
  0.48368455  0.05075223 -0.00142865  0.01753836 -0.44728966  0.14865885
  0.36107579 -0.12371955  0.11035634  0.22679541 -0.04292513]",125.35611910002383,"[-0.44462077  0.06023319  0.05954992  0.03335884  0.24147947  0.18402217
 -0.35016364 -0.26442874 -0.12414503 -0.00821259  0.20104726 -0.21680493
 -0.52851583  0.08999549 -0.22703814 -0.36722316  0.41219169 -0.09555113
 -0.25553891  0.18713272 -0.12068721 -0.15176861 -0.20651273  0.21526391
  0.13468804  0.16528866  0.05985539  0.11704993  0.35664943  0.2661399
 -0.06055797  0.24377333  0.21733113  0.03063616  0.06583646 -0.04659107
  0.05100532 -0.07103471  0.43161471 -0.30341729  0.34861385 -0.12188256
 -0.01034843 -0.0935608  -0.37104998  0.01957366 -0.18655192 -0.3991085
 -0.31375014  0.23799289 -0.41697243 -0.01018726 -0.3555867  -0.46639269
  0.44815957  0.19546065  0.02083755  0.03152046 -0.298105   -0.10451921
  0.21784197 -0.07137313  0.177763    0.24947614 -0.20105496]",51.766754766673934,"[-5.92379652e-01  1.26953479e-01  3.08537516e-01 -1.14707529e-01
  3.45547165e-01  2.50486317e-01 -3.85782801e-01 -3.38566767e-01
 -3.73736005e-02  5.76949579e-02  2.16426390e-01 -4.39045342e-01
 -2.97615468e-01  1.65093043e-01 -4.28611502e-01 -5.51166555e-01
  4.60321047e-01  2.27100755e-04 -2.21899043e-01  2.65599270e-01
  1.05607240e-01 -4.05010930e-01 -3.69642993e-01  3.05677798e-01
 -2.10172936e-02  6.12758714e-01  2.94511714e-01  2.86301411e-01
  3.61592205e-01  4.20571981e-01  2.50732957e-01  2.52544632e-01
  2.25297501e-01  3.97497752e-01 -7.90163971e-02  2.18844426e-01
  1.79711986e-01  8.45627519e-02  4.44692477e-01 -5.36365963e-01
  3.14171553e-01 -1.93409287e-01 -4.00241623e-02 -3.72174357e-01
 -6.23207174e-01  2.54644902e-01 -3.53438076e-01 -3.44388695e-01
 -3.13279923e-01  3.26354927e-01 -3.08854153e-01 -2.53163961e-01
 -3.24242070e-01 -4.28474273e-01  4.48654577e-01  2.63756151e-02
  2.71005418e-02 -2.63704063e-02 -4.28956786e-01  1.53095237e-01
  3.42789240e-01 -1.51132064e-01  1.09731402e-01  2.68904798e-01
 -6.33929278e-02]"
18.346412980000807,"[-0.59922944  0.11955038  0.28008519 -0.09415171  0.31400368  0.28504033
 -0.3548377  -0.35173746 -0.05336334  0.07843143  0.1976463  -0.41029297
 -0.30023232  0.18844146 -0.42628486 -0.54128964  0.44286682  0.00436407
 -0.23758108  0.24518141  0.08511482 -0.3695673  -0.35147607  0.2878012
 -0.00229842  0.54661608  0.26842905  0.2815389   0.34898817  0.38295064
  0.21183739  0.25160668  0.21320316  0.39066115 -0.01174517  0.20514041
  0.14402635  0.07553995  0.44539816 -0.51488723  0.3023589  -0.19323002
 -0.033142   -0.35022271 -0.64999239  0.23285254 -0.33956248 -0.36004674
 -0.30143505  0.31592338 -0.32952219 -0.21397951 -0.33018601 -0.41743333
  0.45566529  0.03318666  0.02322642  0.00233997 -0.44008593  0.13796012
  0.35110014 -0.10620303  0.11058398  0.28644982 -0.07058229]",61.38800323335454,"[-0.70028429 -0.00306677  0.58054496 -0.30854422  0.1946743   0.21572967
 -0.18323081 -0.44407869  0.04556929  0.08269754  0.0541868  -0.40294246
 -0.17320668  0.20211338 -0.53838545 -0.51608532  0.34434962  0.20706152
 -0.25244732  0.34686279  0.09081818 -0.37679857 -0.28923416  0.21655627
 -0.12813942  0.65362397  0.2027273   0.31392012  0.23228013  0.41573765
  0.21126955  0.07466918  0.15928252  0.19516054  0.06336309  0.27638885
 -0.17918743  0.27329595  0.49701794 -0.70584514  0.13849161 -0.24199407
  0.01903784 -0.40362004 -0.89905342  0.36102558 -0.49797962 -0.25167008
 -0.31483267  0.28709655 -0.32147137 -0.35166275 -0.28261952 -0.54415868
  0.55863344 -0.00689656  0.19579826  0.08007359 -0.40204678  0.31661849
  0.24886326  0.08183846  0.10438541  0.2968283   0.06993286]",53.98958894000778,"[-0.64011608  0.06324102  0.39970655 -0.17928635  0.26981445  0.29437898
 -0.29326783 -0.35491922 -0.0257549   0.140684    0.1273782  -0.39426279
 -0.30890948  0.19224929 -0.45972962 -0.49784055  0.50184241 -0.01116023
 -0.26621838  0.21874598  0.10946179 -0.34824509 -0.29600662  0.21348645
 -0.03037128  0.54995043  0.2967195   0.23235099  0.36946564  0.3696757
  0.21375822  0.22266194  0.19578482  0.32394163 -0.05038251  0.21561645
  0.08514733  0.11467482  0.35185003 -0.47384621  0.21771397 -0.19308774
 -0.05988692 -0.37733042 -0.71812656  0.31103126 -0.40385916 -0.34883075
 -0.24146766  0.28954727 -0.27098614 -0.23640672 -0.2636314  -0.36589748
  0.41369544  0.01255362  0.06130054 -0.016746   -0.43986105  0.19397923
  0.3308048  -0.11313229  0.13254949  0.26473703 -0.03157227]"
18.432503311337594,"[-0.67174119  0.09461352  0.39947325 -0.16086665  0.2628553   0.30491574
 -0.31060063 -0.38076825 -0.03082194  0.12614059  0.12226524 -0.39958145
 -0.30735333  0.18687229 -0.461361   -0.52645369  0.48440603 -0.00112478
 -0.23583722  0.23913771  0.11342363 -0.39381318 -0.32094531  0.25155678
 -0.02936224  0.56019174  0.2990571   0.26151103  0.32883822  0.38990408
  0.21747089  0.22669725  0.14380697  0.38098506 -0.00331715  0.21296791
  0.05109831  0.13313767  0.38085911 -0.55768068  0.20420807 -0.21844477
 -0.04209119 -0.35515245 -0.73124047  0.32538665 -0.37762941 -0.38164434
 -0.27678487  0.3140108  -0.29900017 -0.23111899 -0.27242588 -0.39749117
  0.43023551  0.0151484   0.07331762  0.02354735 -0.44431036  0.21995301
  0.31330775 -0.08964946  0.14659558  0.28375846 -0.05807001]",61.47359350003535,"[-0.57060831 -0.07048008  0.22485655 -0.13493847  0.22830673  0.21182478
 -0.36207028 -0.21763968  0.08349113  0.12642761  0.13829781 -0.30915827
 -0.16298104  0.33736444 -0.34479242 -0.59889226  0.26302106 -0.07237562
 -0.43441464  0.18173482  0.11244744 -0.25933401 -0.25615111  0.16252198
  0.02717668  0.52181909  0.26387343  0.25734111  0.30382226  0.26409897
  0.13649466  0.29073539  0.26767286  0.41163779 -0.09564457  0.46072978
  0.22726555 -0.02283202  0.39555219 -0.32257127  0.39492295 -0.16501215
 -0.11513404 -0.42841403 -0.68738295  0.2545246  -0.51608491 -0.1911414
 -0.15556316  0.39038602 -0.36963593 -0.21405584 -0.2639496  -0.29242462
  0.2757236  -0.17557304 -0.03197229 -0.03275552 -0.41421276  0.10286183
  0.41650001 -0.28668427  0.09038739  0.27513098 -0.07747161]",48.23258872000733,"[-0.67881681  0.02341142  0.47246849 -0.1651003   0.2513321   0.29847601
 -0.28968422 -0.40212016 -0.02057248  0.09635377  0.06076834 -0.39933556
 -0.31854784  0.23587329 -0.35282399 -0.57156439  0.44966355  0.02224781
 -0.25507799  0.25215312  0.02335689 -0.30428272 -0.24417751  0.18078199
 -0.04164688  0.43032423  0.26096733  0.23906962  0.28503699  0.33278724
  0.18371066  0.19248874  0.09075997  0.37959257  0.0567092   0.22986385
  0.04878951  0.12130917  0.42571463 -0.50374232  0.14821589 -0.15481667
 -0.01271765 -0.33937257 -0.73952458  0.32700968 -0.40241751 -0.33308963
 -0.26359699  0.32425603 -0.34273094 -0.23202493 -0.26145944 -0.36276173
  0.42626453 -0.02426045  0.07383984  0.03827001 -0.40422389  0.18373168
  0.30918635 -0.1199216   0.14477184  0.33244078 -0.0582388 ]"
